id,clinic_name,clinic_address_1
29,Stephens Group Clinic,"No.249/A, 39, Subash Kovil Street, Kumbakonam Road, Nannilam, Tiruvarur, Tamil Nadu - 614257. Ph: 04366-8815760"
30,Brown LLC Clinic,"No.627/A, 18, Indira Bazaar Street, Mattuthavani Road, Usilampatti, Madurai, Tamil Nadu - 625004. Ph: 0452-8780438"
31,"Brown, Long and Reynolds Clinic","No.940/A, 25, Vivekananda Big Street, High Ground Road, Sankarankovil, Tirunelveli, Tamil Nadu - 627010. Ph: 0462-9710000"
32,Martinez PLC Clinic,"No.299, 6, Subash East Street, Beach Road, Mandapam, Ramanathapuram, Tamil Nadu - 623727. Ph: 04567-4920304"
33,"Ramos, Bell and Jones Clinic","No.858/1, 43, Anna Big Street, Market Street, Sirkazhi, Mayiladuthurai, Tamil Nadu - 609475. Ph: 04364-7601889"
34,Smith-Lloyd Clinic,"No.775/2, 8, Rajaji School Road, Villupuram Road, Chinnasalem, Kallakurichi, Tamil Nadu - 606204. Ph: 04151-8301727"
35,Riley-Kennedy Clinic,"No.360/A, 50, Kamaraj Raja Street, Mattuthavani Road, Vadipatti, Madurai, Tamil Nadu - 625003. Ph: 0452-9355367"
36,Garcia Inc Clinic,"No.351/A, 31, MGR Hospital Road, Perundurai Road, Gobichettipalayam, Erode, Tamil Nadu - 638007. Ph: 0424-7079223"
37,Martin-Miller Clinic,"No.698/2, 15, Indira Bazaar Street, Alagar Kovil Road, Arapalayam, Madurai, Tamil Nadu - 625010. Ph: 0452-3240556"
38,"Taylor, Cummings and Scott Clinic","No.853/A, 32, Perumal Big Street, Market Street, Pondicherry Border, Chengalpet, Tamil Nadu - 603178. Ph: 044-6838453"
39,Grant and Sons Clinic,"No.887, 27, Perumal School Road, Race Course Road, Pollachi, Coimbatore, Tamil Nadu - 641094. Ph: 0422-8627003"
40,"Hammond, Higgins and Harris Clinic","No.432, 8, Rajiv New Street, Alagar Kovil Road, Usilampatti, Madurai, Tamil Nadu - 625014. Ph: 0452-4727652"
41,Price Group Clinic,"No.752, 10, Rajiv Kovil Street, Nehru Street, Saibaba Colony, Coimbatore, Tamil Nadu - 641060. Ph: 0422-5250479"
42,Lowe-Casey Clinic,"No.149/2, 50, Vivekananda School Road, Bharathidasan Road, Trichy, Tiruchirappalli, Tamil Nadu - 620002. Ph: 0431-9866506"
43,Avila-Rodriguez Clinic,"No.712/A, 7, Vivekananda Bazaar Street, North Veli Street, Madurai, Madurai, Tamil Nadu - 625009. Ph: 0452-7937468"
44,Diaz-Douglas Clinic,"No.469/1, 2, Indira New Street, Trichy Road, Annur, Coimbatore, Tamil Nadu - 641070. Ph: 0422-4323132"
45,Weaver-Anderson Clinic,"No.399/1, 50, Vivekananda Hospital Road, Old Bus Stand Road, Aravakurichi, Karur, Tamil Nadu - 639127. Ph: 04324-6744839"
46,Porter-Roberson Clinic,"No.61/2, 40, Vivekananda Raja Street, Bypass Road, Bodinayakanur, Theni, Tamil Nadu - 625528. Ph: 04546-7535707"
47,"Perry, Montgomery and Joyce Clinic","No.444/B, 48, Subash Ambedkar Road, Kamaraj Salai, KK Nagar, Madurai, Tamil Nadu - 625008. Ph: 0452-7783083"
48,"Crawford, Beck and Fields Clinic","No.910/B, 35, Murugan 2nd Street, Salem Road, Veppanthattai, Perambalur, Tamil Nadu - 621215. Ph: 04328-8745167"
49,Williamson PLC Clinic,"No.210, 36, Anna 3rd Street, Bypass Road, Tirukoilur, Kallakurichi, Tamil Nadu - 606204. Ph: 04151-9440430"
50,Lopez LLC Clinic,"No.872/A, 7, Vivekananda North Street, Mattuthavani Road, Arapalayam, Madurai, Tamil Nadu - 625014. Ph: 0452-8010736"
51,Wheeler-Garcia Clinic,"No.785, 40, Vivekananda South Street, Sainathapuram, Vellore, Vellore, Tamil Nadu - 632011. Ph: 0416-5179256"
52,Casey-Cunningham Clinic,"No.6/B, 13, Anna Raja Street, Kalavasal, Anna Nagar, Madurai, Tamil Nadu - 625011. Ph: 0452-9222567"
53,Watson-Rasmussen Clinic,"No.664, 43, Ambedkar Big Street, Beach Road, Sirkazhi, Nagapattinam, Tamil Nadu - 611019. Ph: 04365-7949537"
54,Klein-Howard Clinic,"No.916/1, 6, Bharathiar 1st Street, Saradha College Road, Attur, Salem, Tamil Nadu - 636009. Ph: 0427-4729556"
55,Harris and Sons Clinic,"No.610/A, 31, Shiva Big Street, Nethaji Road, Dharapuram, Erode, Tamil Nadu - 638002. Ph: 0424-4612580"
56,Jordan-Potter Clinic,"No.237/1, 30, Rajaji Anna Street, Harbour Road, Ottapidaram, Thoothukudi, Tamil Nadu - 628719. Ph: 0461-9616018"
57,Barnes LLC Clinic,"No.159/2, 6, Rajaji Cross Street, Palladam Road, Dharapuram, Tiruppur, Tamil Nadu - 641605. Ph: 0421-3769691"
58,Hall-Wood Clinic,"No.99/B, 2, APJ Kalam Market Street, Market Street, Poompuhar, Mayiladuthurai, Tamil Nadu - 609482. Ph: 04364-5545371"
59,Patel-Hatfield Clinic,"No.869, 50, Shiva Ambedkar Road, VOC Road, Kangeyam, Erode, Tamil Nadu - 638007. Ph: 0424-3064058"
60,Johnson and Sons Clinic,"No.362/B, 3, Ambedkar East Street, Nanjikottai Road, Orathanadu, Thanjavur, Tamil Nadu - 613005. Ph: 04362-7557893"
61,Morgan-Brown Clinic,"No.147, 45, Periyar Periyar Street, NGO Colony, Cheranmahadevi, Tirunelveli, Tamil Nadu - 627010. Ph: 0462-3132717"
62,Atkinson-Andrews Clinic,"No.703/2, 7, Nehru Big Street, Saradha College Road, Attur, Salem, Tamil Nadu - 636007. Ph: 0427-4205145"
63,"Mays, Munoz and Miller Clinic","No.363/2, 35, Subash Raja Street, Station Road, Kallakurichi, Villupuram, Tamil Nadu - 605282. Ph: 04146-7430398"
64,"Harris, Gomez and Garcia Clinic","No.531/1, 32, Rajiv 1st Street, Race Course Road, Tirupur, Coimbatore, Tamil Nadu - 641047. Ph: 0422-2524406"
65,Prince Group Clinic,"No.789, 16, Vinayagar Nehru Street, Kumaran Road, Avinashi, Tiruppur, Tamil Nadu - 641645. Ph: 0421-8722465"
66,Gomez and Sons Clinic,"No.815/1, 34, Patel New Street, Tirunelveli Road, Tenkasi, Tenkasi, Tamil Nadu - 627813. Ph: 04633-4602877"
67,Martinez Group Clinic,"No.855/A, 17, Rajaji South Street, Hospital Road, Aruppukkottai, Virudhunagar, Tamil Nadu - 626190. Ph: 04562-2978509"
68,Terry-Hardin Clinic,"No.342/2, 9, Rajiv Gandhi Road, Gandhi Street, Ulundurpet, Villupuram, Tamil Nadu - 605378. Ph: 04146-4027442"
69,Drake Ltd Clinic,"No.824/B, 41, Patel Gandhi Road, Old Mahabalipuram Road, Chennai, Chennai, Tamil Nadu - 600069. Ph: 044-5999354"
70,"Bennett, Garcia and Medina Clinic","No.493/B, 30, Anna 2nd Street, Bypass Road, Karur, Karur, Tamil Nadu - 639045. Ph: 04324-5320144"
71,Sherman LLC Clinic,"No.56/2, 26, Vivekananda East Street, VIT Road, Ranipet, Vellore, Tamil Nadu - 632003. Ph: 0416-3373881"
72,Lee-Miller Clinic,"No.617/B, 18, MGR Cross Street, Sathyamangalam Road, RS Puram, Coimbatore, Tamil Nadu - 641112. Ph: 0422-6403823"
73,Lynch Inc Clinic,"No.779/B, 46, Mariamman School Road, DB Road, Tirupur, Coimbatore, Tamil Nadu - 641091. Ph: 0422-9191846"
74,"Porter, Shields and James Clinic","No.899, 47, Ambedkar 3rd Street, Ammapet, Namakkal, Salem, Tamil Nadu - 636013. Ph: 0427-7264570"
75,Martinez-Henson Clinic,"No.501/B, 16, Gandhi New Street, Gandhi Nagar, Gudiyatham, Vellore, Tamil Nadu - 632004. Ph: 0416-9038661"
76,Morse-Carpenter Clinic,"No.896/B, 42, Patel Bazaar Street, Pillayar Koil Street, Kancheepuram, Kancheepuram, Tamil Nadu - 631542. Ph: 044-7266910"
77,Freeman Inc Clinic,"No.67/2, 45, Perumal School Road, Market Street, Sholinghur, Ranipet, Tamil Nadu - 632488. Ph: 04172-2641138"
78,"Carter, Howell and Martinez Clinic","No.733, 23, Perumal Anna Street, Nehru Street, Velachery, Chennai, Tamil Nadu - 600081. Ph: 044-2141088"
79,"Stephens, Gonzalez and Hernandez Clinic","No.174/2, 23, Bharathiar Periyar Street, Collectorate Road, Aranthangi, Pudukottai, Tamil Nadu - 622364. Ph: 04322-6936942"
80,"Huff, James and Reilly Clinic","No.296, 39, Subash Big Street, Medical College Road, Thiruvaiyaru, Thanjavur, Tamil Nadu - 613001. Ph: 04362-6620889"
81,Dennis-Howard Clinic,"No.919/A, 30, Subash Raja Street, Mettu Street, KK Nagar, Tiruchirappalli, Tamil Nadu - 620009. Ph: 0431-3661739"
82,Harper-Romero Clinic,"No.523/1, 27, Subash Bazaar Street, Kumbakonam Road, Kodavasal, Tiruvarur, Tamil Nadu - 611851. Ph: 04366-3337697"
83,Robinson PLC Clinic,"No.802, 10, Shiva Gandhi Road, Mysore Road, Coonoor, Nilgiris, Tamil Nadu - 643247. Ph: 0423-8688629"
84,Franklin LLC Clinic,"No.449/B, 12, Vinayagar Big Street, Nanjikottai Road, Thanjavur, Thanjavur, Tamil Nadu - 613007. Ph: 04362-5026727"
85,Harrington-Lewis Clinic,"No.879, 27, Bharathiar Bazaar Street, Salem Road, Alathur, Perambalur, Tamil Nadu - 621116. Ph: 04328-5846362"
86,Rivera LLC Clinic,"No.549, 3, Murugan South Street, Poonamallee High Road, Velachery, Chennai, Tamil Nadu - 600071. Ph: 044-9570825"
87,Lyons PLC Clinic,"No.812/A, 28, Subash Anna Street, Bypass Road, Harur, Dharmapuri, Tamil Nadu - 636722. Ph: 04342-2904123"
88,Smith-Fletcher Clinic,"No.769/B, 7, Patel School Road, Market Street, Kallakurichi, Kallakurichi, Tamil Nadu - 606208. Ph: 04151-3204799"
89,Colon-Sullivan Clinic,"No.129/B, 14, Vivekananda Bazaar Street, Chennai Road, Ranipet, Ranipet, Tamil Nadu - 632508. Ph: 04172-4953378"
90,Smith and Sons Clinic,"No.677/2, 49, Ambedkar East Street, Market Street, Pondicherry Border, Chengalpet, Tamil Nadu - 603131. Ph: 044-3747199"
91,Clarke-Riley Clinic,"No.753, 3, Kamaraj Raja Street, Maruthamalai Road, Pollachi, Coimbatore, Tamil Nadu - 641047. Ph: 0422-7623224"
92,Kline Group Clinic,"No.557/B, 47, Patel 2nd Street, Bypass Road, Cheyyur, Chengalpet, Tamil Nadu - 603106. Ph: 044-8902510"
93,Perez PLC Clinic,"No.619/B, 14, Ambedkar Periyar Street, Hospital Road, Coonoor, Nilgiris, Tamil Nadu - 643073. Ph: 0423-4175607"
94,Holt-Robinson Clinic,"No.167/B, 14, Gandhi Anna Street, Alagar Kovil Road, Melur, Madurai, Tamil Nadu - 625014. Ph: 0452-3551805"
95,Prince and Sons Clinic,"No.786/2, 9, Periyar Hospital Road, Cauvery Road, Perundurai, Erode, Tamil Nadu - 638011. Ph: 0424-3819195"
96,Young-Fleming Clinic,"No.78/A, 36, Shiva Old Street, Anna Salai, Chennai, Chennai, Tamil Nadu - 600105. Ph: 044-8125787"
97,Henderson Group Clinic,"No.958/B, 36, Gandhi Kamaraj Road, Tenkasi Road, Srivilliputhur, Virudhunagar, Tamil Nadu - 626029. Ph: 04562-3364423"
98,Hayes Ltd Clinic,"No.889/A, 5, Perumal South Street, Mettu Street, Musiri, Tiruchirappalli, Tamil Nadu - 620003. Ph: 0431-6743865"
99,Baxter-Hensley Clinic,"No.487/1, 34, Indira Kamaraj Road, Anna Salai, Adyar, Chennai, Tamil Nadu - 600090. Ph: 044-3995422"
100,Clark-Olson Clinic,"No.790, 42, Indira Old Street, Salai Road, Kancheepuram, Kancheepuram, Tamil Nadu - 631561. Ph: 044-2453915"
101,Schroeder-Kennedy Clinic,"No.224/A, 17, MGR North Street, Trichy Road, Gandhipuram, Coimbatore, Tamil Nadu - 641097. Ph: 0422-2710975"
102,Moore-Jones Clinic,"No.853, 46, Rajiv Big Street, Gandhi Nagar, Perambur, Chennai, Tamil Nadu - 600031. Ph: 044-3790759"
103,"White, Moore and Shelton Clinic","No.322/A, 2, Murugan New Street, Subash Road, Chidambaram, Cuddalore, Tamil Nadu - 607551. Ph: 04142-6661587"
104,Brown-Bryant Clinic,"No.564, 23, Gandhi 1st Street, North Veli Street, Paravai, Madurai, Tamil Nadu - 625004. Ph: 0452-4826496"
105,"Bryant, Contreras and Ramirez Clinic","No.715, 4, APJ Kalam New Street, Alagar Kovil Road, Arapalayam, Madurai, Tamil Nadu - 625001. Ph: 0452-2881621"
106,"Mcneil, Banks and Robles Clinic","No.22/1, 7, Periyar Big Street, Melapalayam, Sankarankovil, Tirunelveli, Tamil Nadu - 627005. Ph: 0462-4009014"
107,Nguyen-Robles Clinic,"No.409/1, 15, Indira Anna Street, Market Street, Arcot, Ranipet, Tamil Nadu - 632427. Ph: 04172-7683603"
108,Wade-Nguyen Clinic,"No.388/2, 20, Vinayagar Periyar Street, Club Road, Kotagiri, Nilgiris, Tamil Nadu - 643135. Ph: 0423-8787028"
109,"Wolf, Richmond and Obrien Clinic","No.741/A, 3, Shiva 1st Street, Perumal Koil Street, Omalur, Salem, Tamil Nadu - 636009. Ph: 0427-2125020"
110,Estrada Inc Clinic,"No.27/A, 2, MGR Old Street, Kumbakonam Road, Mayiladuthurai, Mayiladuthurai, Tamil Nadu - 609311. Ph: 04364-5141250"
111,Harris-Singh Clinic,"No.672, 47, Periyar Ambedkar Road, Perumal Koil Street, Namakkal, Salem, Tamil Nadu - 636001. Ph: 0427-3800796"
112,Morgan Group Clinic,"No.630, 21, Gandhi Periyar Street, Madurai Road, Aranthangi, Pudukottai, Tamil Nadu - 622260. Ph: 04322-2030049"
113,Shelton-Lewis Clinic,"No.370/A, 27, Bharathiar West Street, Gandhi Nagar, Tambaram, Chennai, Tamil Nadu - 600115. Ph: 044-7501220"
114,Mccullough-Escobar Clinic,"No.644/1, 15, Perumal Kamaraj Road, Salai Road, Lalgudi, Tiruchirappalli, Tamil Nadu - 620014. Ph: 0431-3940281"
115,"Swanson, Bowman and Robinson Clinic","No.49/A, 26, Shiva 2nd Street, Bypass Road, Sankarankovil, Tenkasi, Tamil Nadu - 627815. Ph: 04633-7617673"
116,"Johnson, Smith and Thompson Clinic","No.455/1, 45, Bharathiar 2nd Street, Kumbakonam Road, Papanasam, Tiruvarur, Tamil Nadu - 614459. Ph: 04366-4192829"
117,Mcdaniel LLC Clinic,"No.239/1, 34, Nehru 3rd Street, 1st Main Road, Chennai, Chennai, Tamil Nadu - 600066. Ph: 044-8354559"
118,Rodriguez LLC Clinic,"No.806/2, 37, Subash West Street, Hospital Street, Tiruvarur, Tiruvarur, Tamil Nadu - 614583. Ph: 04366-4530400"
119,"Rodriguez, Woods and Estrada Clinic","No.822/B, 50, Ambedkar East Street, OMR Road, Thirukalukundram, Chengalpet, Tamil Nadu - 603064. Ph: 044-5029526"
120,"Jarvis, Young and Vargas Clinic","No.929/B, 43, Ambedkar Old Street, Kalavasal, Thirumangalam, Madurai, Tamil Nadu - 625008. Ph: 0452-6550714"
121,Carey-Sandoval Clinic,"No.938/1, 3, Vinayagar Tank Street, Bypass Road, Veppanthattai, Perambalur, Tamil Nadu - 621112. Ph: 04328-2808509"
122,"Flores, Massey and Price Clinic","No.173, 4, MGR Anna Street, Tirunelveli Road, Sankarankovil, Tenkasi, Tamil Nadu - 627860. Ph: 04633-7386156"
123,"Hale, Harper and Cox Clinic","No.401/A, 22, Ambedkar Nehru Street, Market Street, Rasipuram, Namakkal, Tamil Nadu - 637082. Ph: 04286-5697064"
124,Mullins PLC Clinic,"No.262/B, 41, Ambedkar Gandhi Road, Mettu Street, Kulithalai, Tiruchirappalli, Tamil Nadu - 620006. Ph: 0431-8490603"
125,Freeman-Jackson Clinic,"No.335/A, 24, APJ Kalam Main Road, Old Bus Stand Road, Vedasandur, Dindigul, Tamil Nadu - 624266. Ph: 0451-9824410"
126,"Hayes, Mccullough and Kim Clinic","No.190/A, 28, Indira Nehru Street, Sathyamangalam Road, Pollachi, Coimbatore, Tamil Nadu - 641104. Ph: 0422-7025059"
127,David-Phillips Clinic,"No.920/2, 48, Periyar East Street, Nehru Street, Peelamedu, Coimbatore, Tamil Nadu - 641011. Ph: 0422-4955532"
128,"Richards, Ferguson and Burke Clinic","No.546/2, 12, Perumal South Street, Anna Salai, Tiruppattur, Sivaganga, Tamil Nadu - 630137. Ph: 04575-7444252"
129,Reed-Nicholson Clinic,"No.685/B, 6, Bharathiar South Street, Gandhi Road, Theni, Theni, Tamil Nadu - 625549. Ph: 04546-4177420"
130,Jenkins LLC Clinic,"No.807/B, 22, Vivekananda School Road, Bypass Road, Thirumangalam, Madurai, Tamil Nadu - 625018. Ph: 0452-4157970"
131,"Davila, Johnson and Perkins Clinic","No.744/B, 42, Perumal Hospital Road, Poonamallee High Road, Velachery, Chennai, Tamil Nadu - 600054. Ph: 044-5907521"
132,Morton Ltd Clinic,"No.206/2, 14, Kamaraj Market Street, Williams Road, Trichy, Tiruchirappalli, Tamil Nadu - 620012. Ph: 0431-8299417"
133,"Wilson, Gilbert and Lutz Clinic","No.649, 44, Anna Raja Street, Mount Road, Nungambakkam, Chennai, Tamil Nadu - 600084. Ph: 044-3862898"
134,Powell Ltd Clinic,"No.555/2, 6, Nehru Kovil Street, 1st Main Road, Anna Nagar, Chennai, Tamil Nadu - 600020. Ph: 044-9621735"
135,"Thompson, Carrillo and Burns Clinic","No.223/1, 14, Kamaraj Periyar Street, ECR Road, Cheyyur, Chengalpet, Tamil Nadu - 603010. Ph: 044-3648468"
136,"Pugh, Smith and Evans Clinic","No.880/B, 45, Mariamman South Street, Mill Street, Tiruppur, Tiruppur, Tamil Nadu - 641682. Ph: 0421-5454884"
137,Bailey and Sons Clinic,"No.140/2, 3, Indira Cross Street, Trichy Road, Orathanadu, Thanjavur, Tamil Nadu - 613009. Ph: 04362-5703980"
138,"Coffey, Mcfarland and Edwards Clinic","No.79, 24, Gandhi East Street, Nehru Street, Porur, Chennai, Tamil Nadu - 600004. Ph: 044-7931923"
139,Rodgers Group Clinic,"No.357/1, 3, Bharathiar North Street, South Veli Street, Anna Nagar, Madurai, Tamil Nadu - 625019. Ph: 0452-5794108"
140,Dominguez Inc Clinic,"No.300, 47, Indira Nehru Street, Race Course Road, Mettupalayam, Coimbatore, Tamil Nadu - 641053. Ph: 0422-3378796"
141,Thomas-Hunter Clinic,"No.865/2, 43, Rajaji Periyar Street, Poonamallee High Road, Anna Nagar, Chennai, Tamil Nadu - 600037. Ph: 044-7899855"
142,Stewart Group Clinic,"No.322/A, 29, Anna Nehru Street, Market Street, Sankarankovil, Tenkasi, Tamil Nadu - 627839. Ph: 04633-5575139"
143,Wilkinson and Sons Clinic,"No.47/A, 37, Indira West Street, Market Street, Paramakudi, Ramanathapuram, Tamil Nadu - 623788. Ph: 04567-8889181"
144,Mendoza LLC Clinic,"No.78/A, 49, Mariamman Cross Street, Perundurai Road, Erode, Erode, Tamil Nadu - 638010. Ph: 0424-9040540"
145,"Becker, Duncan and Moore Clinic","No.321/1, 4, Vivekananda Cross Street, Bay View Road, Ramanathapuram, Ramanathapuram, Tamil Nadu - 623715. Ph: 04567-9410196"
146,Skinner Inc Clinic,"No.589/B, 29, Perumal Periyar Street, DB Road, Peelamedu, Coimbatore, Tamil Nadu - 641031. Ph: 0422-3827369"
147,Mathews-Harris Clinic,"No.979/2, 8, APJ Kalam 2nd Street, Salem Road, Alathur, Perambalur, Tamil Nadu - 621151. Ph: 04328-4224086"
148,Cantrell Group Clinic,"No.244/B, 12, Indira West Street, Gandhi Nagar, Nungambakkam, Chennai, Tamil Nadu - 600119. Ph: 044-8169156"
149,Spencer-Duncan Clinic,"No.773, 25, Rajiv Market Street, Gandhiji Road, Sathyamangalam, Erode, Tamil Nadu - 638006. Ph: 0424-4293628"
150,Murphy Ltd Clinic,"No.421/2, 17, APJ Kalam Nehru Street, Bypass Road, Theni, Theni, Tamil Nadu - 625544. Ph: 04546-4053709"
151,"Peterson, Wilson and Phillips Clinic","No.463/A, 6, Vinayagar South Street, Chennai Road, Arcot, Ranipet, Tamil Nadu - 632473. Ph: 04172-7050852"
152,Wright Group Clinic,"No.427/B, 4, Nehru Hospital Road, Bypass Road, Tiruvannamalai, Tiruvannamalai, Tamil Nadu - 606426. Ph: 04175-7978294"
153,Hart-Curtis Clinic,"No.269/2, 18, Anna North Street, Gandhi Nagar, Karambakudi, Pudukottai, Tamil Nadu - 622307. Ph: 04322-4727471"
154,"Mckee, Johnson and Roberts Clinic","No.740, 12, Mariamman West Street, Rockfort Road, Srirangam, Tiruchirappalli, Tamil Nadu - 620024. Ph: 0431-9550986"
155,Lopez-Reynolds Clinic,"No.620, 17, MGR Kamaraj Road, Junction Main Road, Kondalampatti, Salem, Tamil Nadu - 636004. Ph: 0427-3632697"
156,Morris PLC Clinic,"No.477/2, 42, Nehru 3rd Street, Villupuram Road, Ulundurpet, Kallakurichi, Tamil Nadu - 606208. Ph: 04151-7140702"
157,Martin PLC Clinic,"No.760/2, 38, Shiva Market Street, Race Course Road, Peelamedu, Coimbatore, Tamil Nadu - 641041. Ph: 0422-3300807"
158,"Howe, Jones and Mckee Clinic","No.78/A, 46, Subash Cross Street, Kumbakonam Road, Mayiladuthurai, Mayiladuthurai, Tamil Nadu - 609180. Ph: 04364-2252720"
159,"Rivera, Fowler and Price Clinic","No.827/2, 13, Anna Nehru Street, Hospital Road, Kotagiri, Nilgiris, Tamil Nadu - 643006. Ph: 0423-4424680"
160,Smith Group Clinic,"No.633/A, 41, MGR Anna Street, Maruthamalai Road, Mettupalayam, Coimbatore, Tamil Nadu - 641082. Ph: 0422-3999921"
161,Roach Group Clinic,"No.772/1, 39, Vinayagar Bazaar Street, Market Street, Kamuthi, Ramanathapuram, Tamil Nadu - 623761. Ph: 04567-7772416"
162,"Hernandez, Stewart and Peck Clinic","No.269/A, 40, Indira New Street, Alagar Kovil Road, KK Nagar, Madurai, Tamil Nadu - 625016. Ph: 0452-7891502"
163,Osborn Group Clinic,"No.569, 25, Anna West Street, Nehru Street, Anna Nagar, Chennai, Tamil Nadu - 600043. Ph: 044-3852911"
164,Medina-Olson Clinic,"No.753, 41, Gandhi Hospital Road, Hospital Road, Andimadam, Ariyalur, Tamil Nadu - 621729. Ph: 04329-8409485"
165,Richards PLC Clinic,"No.588/1, 4, Perumal Big Street, Old Bus Stand Road, Vedasandur, Dindigul, Tamil Nadu - 624088. Ph: 0451-2227847"
166,Rodriguez-Cobb Clinic,"No.975/1, 14, Perumal East Street, GST Road, Tambaram, Chennai, Tamil Nadu - 600092. Ph: 044-5474722"
167,"Martin, Hensley and Jones Clinic","No.632/1, 41, Nehru Hospital Road, Bypass Road, Uthamapalayam, Theni, Tamil Nadu - 625537. Ph: 04546-4605734"
168,"Walton, Rodriguez and Valencia Clinic","No.55, 47, Rajaji Tank Street, Pillayar Koil Street, Tambaram, Kancheepuram, Tamil Nadu - 631517. Ph: 044-8448741"
169,Dougherty-Mclaughlin Clinic,"No.762/A, 26, Nehru Market Street, Trichy Road, Orathanadu, Thanjavur, Tamil Nadu - 613003. Ph: 04362-5490952"
170,Davis-Rojas Clinic,"No.927/2, 46, Anna School Road, Hospital Road, Pappireddipatti, Dharmapuri, Tamil Nadu - 636711. Ph: 04342-6832650"
