id,drug_name,generic_name,drug_strength,dosage_type,clinic
45,Ibuprofen,Paracetamol,250mg,Capsule,15229
46,Paracetamol,Metformin,5ml,Syrup,9125
47,Aspirin,Aspirin,250mg,Tablet,12006
48,Metformin,Aspirin,500mg,Injection,3023
49,Metformin,Paracetamol,500mg,Injection,9495
50,Metformin,Ibuprofen,5ml,Capsule,3032
51,Cetirizine,Ibuprofen,650mg,Capsule,12768
52,Ibuprofen,Amoxicillin,650mg,Capsule,5515
53,Metformin,Cetirizine,250mg,Tablet,8467
54,Aspirin,Aspirin,250mg,Injection,13589
55,Amoxicillin,Metformin,500mg,Tablet,14752
56,Cetirizine,Cetirizine,5ml,Injection,4875
57,Ibuprofen,Amoxicillin,500mg,Tablet,6938
58,Amoxicillin,Paracetamol,5ml,Injection,16594
59,Ibuprofen,Amoxicillin,250mg,Injection,16906
60,Paracetamol,Cetirizine,250mg,Tablet,9489
61,Aspirin,Amoxicillin,500mg,Tablet,4034
62,Amoxicillin,Metformin,500mg,Tablet,15330
63,Metformin,Metformin,650mg,Tablet,8814
64,Cetirizine,Ibuprofen,500mg,Syrup,13872
65,Cetirizine,Ibuprofen,5ml,Injection,6049
66,Metformin,Cetirizine,500mg,Capsule,9072
67,Amoxicillin,Amoxicillin,5ml,Syrup,16915
68,Amoxicillin,Metformin,250mg,Capsule,4051
69,Ibuprofen,Metformin,650mg,Injection,4694
70,Paracetamol,Metformin,5ml,Injection,17827
71,Cetirizine,Metformin,5ml,Tablet,13112
72,Ibuprofen,Paracetamol,650mg,Syrup,6192
73,Amoxicillin,Amoxicillin,650mg,Syrup,19863
74,Cetirizine,Aspirin,500mg,Injection,16832
75,Ibuprofen,Ibuprofen,500mg,Tablet,10177
76,Paracetamol,Paracetamol,5ml,Syrup,7914
77,Paracetamol,Cetirizine,250mg,Syrup,7815
78,Cetirizine,Ibuprofen,5ml,Injection,9342
79,Paracetamol,Amoxicillin,250mg,Syrup,14746
80,Metformin,Cetirizine,250mg,Tablet,14318
81,Cetirizine,Cetirizine,500mg,Tablet,14826
82,Metformin,Paracetamol,5ml,Syrup,19556
83,Amoxicillin,Paracetamol,650mg,Tablet,16116
84,Metformin,Aspirin,500mg,Capsule,14550
85,Aspirin,Ibuprofen,250mg,Injection,5595
86,Amoxicillin,Aspirin,500mg,Syrup,2146
87,Ibuprofen,Paracetamol,500mg,Tablet,6354
88,Aspirin,Cetirizine,650mg,Capsule,17043
89,Cetirizine,Paracetamol,500mg,Injection,19175
90,Metformin,Paracetamol,500mg,Injection,1554
91,Amoxicillin,Paracetamol,250mg,Capsule,4381
92,Cetirizine,Amoxicillin,650mg,Injection,8459
93,Amoxicillin,Amoxicillin,500mg,Injection,2968
94,Metformin,Metformin,250mg,Syrup,1103
95,Ibuprofen,Metformin,5ml,Syrup,14454
96,Ibuprofen,Cetirizine,650mg,Injection,1862
97,Cetirizine,Paracetamol,5ml,Injection,18171
98,Metformin,Ibuprofen,250mg,Capsule,7749
99,Metformin,Aspirin,650mg,Syrup,3199
100,Aspirin,Cetirizine,500mg,Capsule,6706
101,Ibuprofen,Ibuprofen,5ml,Injection,11631
102,Metformin,Paracetamol,5ml,Syrup,16753
103,Cetirizine,Ibuprofen,5ml,Injection,18427
104,Amoxicillin,Cetirizine,500mg,Capsule,15490
105,Paracetamol,Metformin,250mg,Tablet,6336
106,Amoxicillin,Metformin,650mg,Capsule,15793
107,Metformin,Paracetamol,500mg,Capsule,411
108,Cetirizine,Aspirin,500mg,Syrup,9111
109,Metformin,Ibuprofen,500mg,Injection,9654
110,Cetirizine,Metformin,5ml,Injection,1846
111,Cetirizine,Aspirin,250mg,Injection,18028
112,Metformin,Paracetamol,650mg,Syrup,1412
113,Amoxicillin,Amoxicillin,500mg,Tablet,17106
114,Cetirizine,Cetirizine,5ml,Injection,7186
115,Aspirin,Amoxicillin,500mg,Tablet,1802
116,Aspirin,Aspirin,650mg,Syrup,11812
117,Paracetamol,Cetirizine,650mg,Tablet,4547
118,Metformin,Metformin,5ml,Injection,19660
119,Ibuprofen,Amoxicillin,650mg,Syrup,9788
120,Cetirizine,Amoxicillin,250mg,Tablet,2995
121,Paracetamol,Ibuprofen,650mg,Injection,12464
122,Paracetamol,Paracetamol,5ml,Injection,6112
123,Metformin,Metformin,5ml,Syrup,3705
124,Amoxicillin,Metformin,250mg,Tablet,3617
125,Cetirizine,Aspirin,5ml,Injection,7836
126,Aspirin,Amoxicillin,250mg,Capsule,10800
127,Amoxicillin,Paracetamol,250mg,Tablet,731
128,Amoxicillin,Paracetamol,650mg,Capsule,16381
129,Amoxicillin,Paracetamol,5ml,Capsule,18911
130,Aspirin,Amoxicillin,250mg,Tablet,5512
131,Cetirizine,Metformin,5ml,Tablet,10511
132,Paracetamol,Aspirin,5ml,Injection,15151
133,Amoxicillin,Amoxicillin,5ml,Syrup,13598
134,Metformin,Cetirizine,500mg,Syrup,6406
135,Cetirizine,Aspirin,5ml,Tablet,9237
136,Metformin,Aspirin,250mg,Capsule,16437
137,Paracetamol,Metformin,650mg,Capsule,3664
138,Aspirin,Ibuprofen,5ml,Capsule,18790
139,Aspirin,Metformin,650mg,Tablet,12768
140,Cetirizine,Amoxicillin,250mg,Syrup,15751
141,Amoxicillin,Amoxicillin,500mg,Capsule,10786
142,Ibuprofen,Ibuprofen,500mg,Syrup,206
143,Metformin,Aspirin,250mg,Syrup,9584
144,Cetirizine,Paracetamol,5ml,Capsule,14626
145,Aspirin,Metformin,5ml,Capsule,10843
146,Aspirin,Metformin,650mg,Tablet,11453
147,Paracetamol,Paracetamol,650mg,Tablet,7591
148,Aspirin,Amoxicillin,250mg,Injection,10604
149,Amoxicillin,Cetirizine,250mg,Tablet,11767
150,Metformin,Cetirizine,5ml,Tablet,773
151,Metformin,Metformin,500mg,Tablet,15569
152,Cetirizine,Paracetamol,5ml,Syrup,1525
153,Metformin,Cetirizine,250mg,Capsule,341
154,Cetirizine,Aspirin,650mg,Capsule,14920
155,Aspirin,Paracetamol,250mg,Syrup,10727
156,Paracetamol,Paracetamol,500mg,Tablet,9683
157,Amoxicillin,Ibuprofen,250mg,Injection,11328
158,Cetirizine,Aspirin,5ml,Injection,11918
159,Aspirin,Amoxicillin,500mg,Injection,8631
160,Metformin,Metformin,250mg,Capsule,17228
161,Aspirin,Aspirin,5ml,Capsule,5593
162,Amoxicillin,Aspirin,250mg,Tablet,6133
163,Cetirizine,Aspirin,5ml,Tablet,6788
164,Cetirizine,Ibuprofen,5ml,Tablet,6458
165,Amoxicillin,Amoxicillin,500mg,Injection,16254
166,Amoxicillin,Aspirin,500mg,Tablet,6470
167,Metformin,Cetirizine,650mg,Capsule,12003
168,Amoxicillin,Paracetamol,650mg,Tablet,12104
169,Aspirin,Aspirin,650mg,Capsule,1434
170,Aspirin,Paracetamol,250mg,Capsule,928
171,Paracetamol,Cetirizine,500mg,Capsule,7471
172,Aspirin,Aspirin,500mg,Injection,13158
173,Amoxicillin,Metformin,500mg,Tablet,14944
174,Cetirizine,Cetirizine,250mg,Tablet,6503
175,Ibuprofen,Cetirizine,650mg,Capsule,18021
176,Amoxicillin,Metformin,5ml,Syrup,13196
177,Ibuprofen,Ibuprofen,250mg,Tablet,9497
178,Ibuprofen,Paracetamol,250mg,Tablet,681
179,Cetirizine,Ibuprofen,650mg,Tablet,14359
180,Paracetamol,Paracetamol,250mg,Tablet,10072
181,Cetirizine,Aspirin,5ml,Injection,1938
182,Metformin,Amoxicillin,250mg,Tablet,2644
183,Aspirin,Paracetamol,500mg,Tablet,3506
184,Cetirizine,Amoxicillin,250mg,Tablet,1690
185,Aspirin,Aspirin,650mg,Injection,9782
186,Metformin,Metformin,250mg,Injection,11946
187,Amoxicillin,Aspirin,650mg,Capsule,18527
188,Paracetamol,Paracetamol,250mg,Injection,15456
189,Amoxicillin,Aspirin,5ml,Capsule,369
190,Cetirizine,Amoxicillin,650mg,Tablet,11226
191,Aspirin,Aspirin,250mg,Capsule,16688
192,Cetirizine,Metformin,500mg,Capsule,14340
193,Aspirin,Amoxicillin,650mg,Capsule,12122
194,Cetirizine,Amoxicillin,250mg,Tablet,12986
195,Paracetamol,Aspirin,250mg,Tablet,5087
196,Amoxicillin,Amoxicillin,500mg,Injection,5069
197,Paracetamol,Amoxicillin,650mg,Syrup,15447
198,Metformin,Cetirizine,500mg,Tablet,14323
199,Aspirin,Paracetamol,250mg,Injection,18430
200,Cetirizine,Aspirin,5ml,Syrup,1750
201,Metformin,Metformin,5ml,Capsule,8835
202,Ibuprofen,Metformin,5ml,Capsule,19393
203,Cetirizine,Ibuprofen,250mg,Capsule,2114
204,Paracetamol,Paracetamol,500mg,Injection,5383
205,Cetirizine,Ibuprofen,500mg,Syrup,3045
206,Cetirizine,Metformin,650mg,Syrup,3635
207,Aspirin,Aspirin,5ml,Capsule,17257
208,Metformin,Metformin,500mg,Capsule,5435
209,Ibuprofen,Aspirin,250mg,Capsule,2017
210,Paracetamol,Aspirin,250mg,Syrup,1091
211,Aspirin,Amoxicillin,250mg,Injection,14730
212,Paracetamol,Amoxicillin,250mg,Tablet,16197
213,Metformin,Amoxicillin,500mg,Injection,16209
214,Ibuprofen,Aspirin,650mg,Injection,2294
215,Paracetamol,Cetirizine,5ml,Injection,3794
216,Aspirin,Paracetamol,500mg,Tablet,3500
217,Amoxicillin,Amoxicillin,500mg,Tablet,942
218,Cetirizine,Paracetamol,500mg,Tablet,5522
219,Paracetamol,Aspirin,5ml,Tablet,5902
220,Metformin,Cetirizine,5ml,Tablet,19697
221,Cetirizine,Aspirin,250mg,Capsule,19739
222,Cetirizine,Ibuprofen,500mg,Capsule,7622
223,Amoxicillin,Cetirizine,250mg,Injection,13685
224,Metformin,Ibuprofen,650mg,Capsule,9814
225,Aspirin,Aspirin,5ml,Injection,19278
226,Aspirin,Cetirizine,5ml,Capsule,2380
227,Ibuprofen,Metformin,500mg,Tablet,2253
228,Metformin,Amoxicillin,250mg,Syrup,19523
229,Ibuprofen,Metformin,500mg,Injection,13960
230,Metformin,Paracetamol,500mg,Syrup,18154
231,Metformin,Cetirizine,500mg,Syrup,8374
232,Cetirizine,Metformin,650mg,Capsule,17969
233,Metformin,Amoxicillin,500mg,Capsule,1925
234,Aspirin,Metformin,500mg,Capsule,15819
235,Cetirizine,Cetirizine,5ml,Capsule,7309
236,Paracetamol,Cetirizine,5ml,Capsule,7485
237,Metformin,Aspirin,5ml,Tablet,2447
238,Cetirizine,Paracetamol,500mg,Syrup,19082
239,Aspirin,Cetirizine,500mg,Syrup,1498
240,Amoxicillin,Aspirin,250mg,Tablet,12968
241,Aspirin,Amoxicillin,5ml,Injection,12734
242,Cetirizine,Amoxicillin,650mg,Tablet,8496
243,Ibuprofen,Ibuprofen,650mg,Syrup,9755
244,Paracetamol,Aspirin,500mg,Syrup,19596
245,Ibuprofen,Amoxicillin,250mg,Capsule,7156
246,Paracetamol,Aspirin,250mg,Tablet,13463
247,Cetirizine,Ibuprofen,250mg,Capsule,2492
248,Paracetamol,Amoxicillin,650mg,Tablet,17928
249,Ibuprofen,Paracetamol,250mg,Tablet,9799
250,Aspirin,Amoxicillin,250mg,Injection,11810
251,Amoxicillin,Cetirizine,250mg,Injection,17629
252,Amoxicillin,Amoxicillin,500mg,Capsule,11878
253,Amoxicillin,Paracetamol,650mg,Capsule,10524
254,Ibuprofen,Aspirin,5ml,Capsule,7606
255,Ibuprofen,Aspirin,650mg,Injection,5417
256,Ibuprofen,Metformin,500mg,Tablet,8226
257,Ibuprofen,Paracetamol,500mg,Injection,12788
258,Aspirin,Aspirin,650mg,Syrup,979
259,Ibuprofen,Aspirin,5ml,Tablet,2163
260,Ibuprofen,Paracetamol,250mg,Capsule,6815
261,Cetirizine,Metformin,250mg,Capsule,6419
262,Amoxicillin,Metformin,500mg,Injection,7413
263,Metformin,Paracetamol,650mg,Syrup,6596
264,Amoxicillin,Paracetamol,650mg,Injection,9266
265,Ibuprofen,Amoxicillin,500mg,Capsule,2841
266,Paracetamol,Cetirizine,500mg,Tablet,12143
267,Aspirin,Amoxicillin,650mg,Capsule,15664
268,Metformin,Cetirizine,5ml,Injection,3250
269,Metformin,Cetirizine,5ml,Capsule,10079
270,Ibuprofen,Metformin,500mg,Capsule,20000
271,Amoxicillin,Cetirizine,250mg,Injection,127
272,Metformin,Ibuprofen,5ml,Injection,1738
273,Aspirin,Amoxicillin,5ml,Capsule,9605
274,Amoxicillin,Metformin,500mg,Syrup,1372
275,Cetirizine,Ibuprofen,500mg,Capsule,3701
276,Aspirin,Cetirizine,5ml,Injection,8878
277,Ibuprofen,Ibuprofen,250mg,Syrup,12914
278,Cetirizine,Ibuprofen,500mg,Capsule,8075
279,Metformin,Paracetamol,650mg,Injection,8040
280,Aspirin,Metformin,650mg,Injection,11096
281,Amoxicillin,Ibuprofen,650mg,Capsule,10563
282,Ibuprofen,Amoxicillin,250mg,Capsule,9375
283,Paracetamol,Aspirin,250mg,Syrup,2755
284,Amoxicillin,Cetirizine,650mg,Capsule,13283
285,Ibuprofen,Aspirin,650mg,Capsule,4073
286,Ibuprofen,Ibuprofen,500mg,Capsule,14124
287,Cetirizine,Paracetamol,250mg,Syrup,7
288,Paracetamol,Amoxicillin,250mg,Tablet,1232
289,Amoxicillin,Amoxicillin,5ml,Capsule,3404
290,Amoxicillin,Paracetamol,500mg,Injection,12231
291,Amoxicillin,Ibuprofen,5ml,Tablet,4298
292,Paracetamol,Paracetamol,500mg,Tablet,13747
293,Paracetamol,Aspirin,5ml,Capsule,6354
294,Aspirin,Aspirin,500mg,Injection,1398
295,Aspirin,Paracetamol,500mg,Injection,19883
296,Amoxicillin,Ibuprofen,250mg,Tablet,13533
297,Amoxicillin,Ibuprofen,5ml,Capsule,1853
298,Paracetamol,Ibuprofen,650mg,Syrup,5293
299,Amoxicillin,Amoxicillin,250mg,Capsule,19523
300,Paracetamol,Cetirizine,650mg,Capsule,15763
301,Amoxicillin,Ibuprofen,650mg,Syrup,15967
302,Metformin,Paracetamol,500mg,Capsule,17457
303,Amoxicillin,Cetirizine,650mg,Injection,10298
304,Paracetamol,Cetirizine,500mg,Injection,5409
305,Aspirin,Metformin,5ml,Syrup,12248
306,Amoxicillin,Paracetamol,5ml,Capsule,8537
307,Cetirizine,Cetirizine,500mg,Injection,83
308,Aspirin,Metformin,250mg,Tablet,1427
309,Amoxicillin,Ibuprofen,5ml,Injection,13818
310,Aspirin,Aspirin,250mg,Tablet,5753
311,Paracetamol,Cetirizine,250mg,Injection,17008
312,Ibuprofen,Cetirizine,650mg,Syrup,11393
313,Ibuprofen,Amoxicillin,650mg,Capsule,2654
314,Amoxicillin,Ibuprofen,500mg,Syrup,9543
315,Aspirin,Paracetamol,250mg,Injection,1481
316,Aspirin,Metformin,500mg,Capsule,11032
317,Metformin,Metformin,250mg,Syrup,9740
318,Cetirizine,Cetirizine,500mg,Capsule,19077
319,Ibuprofen,Amoxicillin,250mg,Syrup,16205
320,Amoxicillin,Metformin,500mg,Injection,15485
321,Aspirin,Metformin,500mg,Capsule,16951
322,Amoxicillin,Amoxicillin,250mg,Tablet,9966
323,Aspirin,Paracetamol,250mg,Injection,4165
324,Aspirin,Metformin,500mg,Tablet,5794
325,Cetirizine,Cetirizine,250mg,Syrup,17813
326,Amoxicillin,Aspirin,650mg,Tablet,7822
327,Cetirizine,Metformin,5ml,Injection,2184
328,Metformin,Paracetamol,5ml,Injection,2305
329,Amoxicillin,Amoxicillin,5ml,Injection,10169
330,Aspirin,Ibuprofen,250mg,Capsule,5339
331,Metformin,Paracetamol,500mg,Syrup,15286
332,Aspirin,Paracetamol,650mg,Injection,15982
333,Ibuprofen,Ibuprofen,250mg,Injection,17267
334,Ibuprofen,Paracetamol,650mg,Syrup,3905
335,Paracetamol,Cetirizine,650mg,Capsule,1661
336,Cetirizine,Cetirizine,650mg,Capsule,12432
337,Amoxicillin,Aspirin,500mg,Injection,17133
338,Amoxicillin,Paracetamol,250mg,Tablet,793
339,Ibuprofen,Amoxicillin,500mg,Syrup,1242
340,Paracetamol,Paracetamol,250mg,Capsule,1208
341,Cetirizine,Aspirin,500mg,Capsule,3396
342,Ibuprofen,Amoxicillin,250mg,Capsule,19804
343,Paracetamol,Metformin,650mg,Tablet,19262
344,Amoxicillin,Amoxicillin,5ml,Injection,16048
345,Metformin,Paracetamol,500mg,Tablet,4902
346,Paracetamol,Amoxicillin,5ml,Tablet,4139
347,Paracetamol,Metformin,650mg,Injection,19763
348,Amoxicillin,Metformin,650mg,Tablet,14827
349,Paracetamol,Paracetamol,5ml,Syrup,2897
350,Aspirin,Metformin,5ml,Injection,5889
351,Paracetamol,Amoxicillin,5ml,Injection,4855
352,Cetirizine,Cetirizine,250mg,Syrup,647
353,Metformin,Amoxicillin,650mg,Syrup,3136
354,Cetirizine,Metformin,5ml,Injection,12128
355,Cetirizine,Cetirizine,5ml,Syrup,1241
356,Ibuprofen,Amoxicillin,500mg,Injection,13446
357,Ibuprofen,Metformin,5ml,Syrup,16391
358,Aspirin,Amoxicillin,500mg,Capsule,13609
359,Amoxicillin,Cetirizine,500mg,Tablet,14053
360,Paracetamol,Aspirin,5ml,Capsule,17838
361,Cetirizine,Aspirin,250mg,Syrup,7781
362,Ibuprofen,Cetirizine,500mg,Syrup,11715
363,Ibuprofen,Amoxicillin,5ml,Injection,12231
364,Aspirin,Cetirizine,650mg,Syrup,6206
365,Metformin,Paracetamol,250mg,Tablet,12863
366,Paracetamol,Ibuprofen,250mg,Injection,8025
367,Ibuprofen,Cetirizine,5ml,Tablet,17640
368,Paracetamol,Cetirizine,500mg,Capsule,13081
369,Metformin,Aspirin,5ml,Tablet,16850
370,Paracetamol,Aspirin,500mg,Tablet,16791
371,Cetirizine,Metformin,5ml,Tablet,5376
372,Aspirin,Ibuprofen,5ml,Syrup,10165
373,Ibuprofen,Cetirizine,250mg,Tablet,14933
374,Ibuprofen,Aspirin,5ml,Tablet,1141
375,Ibuprofen,Ibuprofen,500mg,Tablet,14903
376,Ibuprofen,Paracetamol,650mg,Capsule,19982
377,Aspirin,Amoxicillin,500mg,Injection,7282
378,Metformin,Amoxicillin,650mg,Capsule,8183
379,Paracetamol,Cetirizine,500mg,Syrup,4421
380,Cetirizine,Paracetamol,5ml,Capsule,16824
381,Metformin,Metformin,500mg,Syrup,10231
382,Metformin,Paracetamol,500mg,Tablet,5235
383,Paracetamol,Metformin,650mg,Capsule,5690
384,Cetirizine,Aspirin,500mg,Injection,3832
385,Ibuprofen,Ibuprofen,650mg,Capsule,327
386,Ibuprofen,Paracetamol,250mg,Tablet,17736
387,Metformin,Metformin,650mg,Capsule,7413
388,Metformin,Ibuprofen,650mg,Injection,1218
389,Metformin,Metformin,250mg,Syrup,10599
390,Paracetamol,Aspirin,250mg,Tablet,16777
391,Metformin,Ibuprofen,5ml,Capsule,11665
392,Amoxicillin,Metformin,650mg,Tablet,14841
393,Ibuprofen,Amoxicillin,500mg,Syrup,15543
394,Amoxicillin,Cetirizine,250mg,Syrup,13038
395,Amoxicillin,Paracetamol,5ml,Capsule,10136
396,Cetirizine,Paracetamol,500mg,Capsule,11661
397,Cetirizine,Ibuprofen,650mg,Syrup,13500
398,Aspirin,Paracetamol,250mg,Injection,1291
399,Metformin,Ibuprofen,650mg,Capsule,16934
400,Cetirizine,Ibuprofen,5ml,Injection,14526
401,Amoxicillin,Cetirizine,500mg,Tablet,8523
402,Ibuprofen,Ibuprofen,500mg,Syrup,10185
403,Amoxicillin,Metformin,500mg,Capsule,12610
404,Ibuprofen,Aspirin,650mg,Tablet,5856
405,Ibuprofen,Ibuprofen,650mg,Injection,15793
406,Ibuprofen,Amoxicillin,250mg,Syrup,7127
407,Paracetamol,Cetirizine,650mg,Tablet,13740
408,Amoxicillin,Cetirizine,650mg,Injection,1368
409,Aspirin,Cetirizine,650mg,Capsule,6899
410,Paracetamol,Cetirizine,5ml,Syrup,8606
411,Cetirizine,Aspirin,500mg,Injection,2622
412,Paracetamol,Metformin,650mg,Injection,15007
413,Amoxicillin,Metformin,250mg,Capsule,18914
414,Cetirizine,Metformin,5ml,Capsule,17791
415,Metformin,Metformin,650mg,Capsule,4734
416,Amoxicillin,Amoxicillin,650mg,Injection,6906
417,Paracetamol,Paracetamol,650mg,Tablet,5521
418,Aspirin,Amoxicillin,250mg,Syrup,5463
419,Ibuprofen,Aspirin,5ml,Tablet,17642
420,Metformin,Aspirin,5ml,Syrup,4972
421,Aspirin,Amoxicillin,5ml,Syrup,17656
422,Aspirin,Cetirizine,500mg,Injection,13468
423,Amoxicillin,Cetirizine,650mg,Injection,6091
424,Cetirizine,Metformin,500mg,Syrup,10540
425,Aspirin,Aspirin,5ml,Tablet,4060
426,Paracetamol,Amoxicillin,500mg,Injection,6328
427,Aspirin,Metformin,650mg,Tablet,17036
428,Amoxicillin,Cetirizine,250mg,Injection,6452
429,Amoxicillin,Cetirizine,250mg,Capsule,16585
430,Cetirizine,Paracetamol,5ml,Syrup,9202
431,Aspirin,Ibuprofen,500mg,Syrup,6359
432,Metformin,Ibuprofen,650mg,Tablet,13241
433,Ibuprofen,Aspirin,250mg,Capsule,6545
434,Ibuprofen,Cetirizine,500mg,Capsule,4269
435,Amoxicillin,Amoxicillin,250mg,Syrup,2772
436,Ibuprofen,Cetirizine,500mg,Injection,15019
437,Aspirin,Metformin,5ml,Capsule,4452
438,Ibuprofen,Metformin,650mg,Syrup,11295
439,Aspirin,Aspirin,500mg,Injection,12524
440,Paracetamol,Cetirizine,250mg,Tablet,15441
441,Aspirin,Cetirizine,250mg,Capsule,7133
442,Aspirin,Ibuprofen,5ml,Capsule,15625
443,Cetirizine,Cetirizine,500mg,Injection,5891
444,Paracetamol,Paracetamol,250mg,Tablet,1313
445,Metformin,Cetirizine,650mg,Syrup,1356
446,Paracetamol,Metformin,650mg,Injection,5578
447,Cetirizine,Cetirizine,5ml,Tablet,2204
448,Cetirizine,Cetirizine,650mg,Syrup,6880
449,Cetirizine,Paracetamol,650mg,Capsule,2525
450,Paracetamol,Ibuprofen,650mg,Injection,2615
451,Paracetamol,Aspirin,5ml,Tablet,13341
452,Paracetamol,Amoxicillin,250mg,Syrup,14229
453,Cetirizine,Amoxicillin,650mg,Tablet,16318
454,Cetirizine,Aspirin,650mg,Syrup,3224
455,Paracetamol,Metformin,5ml,Injection,15853
456,Amoxicillin,Cetirizine,650mg,Capsule,7779
457,Ibuprofen,Aspirin,5ml,Tablet,17165
458,Cetirizine,Cetirizine,500mg,Syrup,11009
459,Amoxicillin,Aspirin,250mg,Tablet,6106
460,Aspirin,Amoxicillin,5ml,Tablet,11612
461,Amoxicillin,Aspirin,500mg,Tablet,7844
462,Aspirin,Amoxicillin,650mg,Capsule,12004
463,Paracetamol,Aspirin,650mg,Injection,7012
464,Aspirin,Paracetamol,250mg,Syrup,17029
465,Ibuprofen,Paracetamol,5ml,Tablet,12834
466,Cetirizine,Ibuprofen,650mg,Tablet,6150
467,Metformin,Aspirin,250mg,Capsule,11719
468,Metformin,Cetirizine,250mg,Tablet,1154
469,Ibuprofen,Paracetamol,500mg,Capsule,18833
470,Aspirin,Cetirizine,250mg,Injection,16911
471,Paracetamol,Paracetamol,5ml,Syrup,15125
472,Metformin,Cetirizine,650mg,Tablet,15979
473,Paracetamol,Aspirin,650mg,Syrup,16976
474,Metformin,Amoxicillin,5ml,Syrup,8532
475,Ibuprofen,Amoxicillin,250mg,Tablet,7461
476,Ibuprofen,Metformin,500mg,Syrup,9604
477,Amoxicillin,Paracetamol,500mg,Capsule,7885
478,Cetirizine,Cetirizine,5ml,Capsule,18835
479,Paracetamol,Paracetamol,250mg,Capsule,3740
480,Ibuprofen,Ibuprofen,5ml,Syrup,12707
481,Metformin,Paracetamol,250mg,Tablet,5091
482,Metformin,Ibuprofen,250mg,Injection,3633
483,Paracetamol,Cetirizine,250mg,Injection,15189
484,Ibuprofen,Amoxicillin,650mg,Capsule,18359
485,Ibuprofen,Paracetamol,650mg,Capsule,4546
486,Cetirizine,Metformin,250mg,Injection,18508
487,Metformin,Ibuprofen,650mg,Capsule,157
488,Amoxicillin,Cetirizine,650mg,Capsule,3490
489,Ibuprofen,Metformin,500mg,Injection,600
490,Aspirin,Ibuprofen,250mg,Tablet,6051
491,Ibuprofen,Cetirizine,5ml,Tablet,5797
492,Cetirizine,Aspirin,650mg,Syrup,10111
493,Amoxicillin,Metformin,5ml,Capsule,15658
494,Metformin,Paracetamol,5ml,Syrup,15647
495,Ibuprofen,Aspirin,250mg,Injection,3364
496,Amoxicillin,Metformin,500mg,Tablet,14869
497,Paracetamol,Metformin,250mg,Capsule,1129
498,Paracetamol,Ibuprofen,5ml,Tablet,3706
499,Ibuprofen,Aspirin,500mg,Capsule,4124
500,Cetirizine,Metformin,5ml,Tablet,17907
501,Ibuprofen,Ibuprofen,5ml,Capsule,12003
502,Metformin,Metformin,250mg,Tablet,17413
503,Amoxicillin,Cetirizine,5ml,Tablet,16510
504,Ibuprofen,Cetirizine,650mg,Tablet,17298
505,Cetirizine,Aspirin,250mg,Tablet,15156
506,Ibuprofen,Ibuprofen,5ml,Tablet,17665
507,Amoxicillin,Metformin,650mg,Syrup,1242
508,Metformin,Aspirin,5ml,Syrup,9286
509,Aspirin,Paracetamol,250mg,Capsule,13156
