id,clinic_name,clinic_address_1
14,"Simmons and Sons Clinic","No.915/2, 28, Vivekananda West Street, Vannarpettai, Ambasamudram, Tirunelveli, Tamil Nadu - 627009. Ph: 0462-7592473"
15,"Pennington-Johnson Clinic","No.674, 17, Gandhi Anna Street, Big Bazaar Street, Peelamedu, Coimbatore, Tamil Nadu - 641040. Ph: 0422-6406832"
16,"Krause PLC Clinic","No.630/1, 23, MGR West Street, Salai Road, KK Nagar, Tiruchirappalli, Tamil Nadu - 620004. Ph: 0431-6722484"
17,"Kim-Anderson Clinic","No.452/A, 23, Periyar Big Street, Periyar Bus Stand Road, Thirumangalam, Madurai, Tamil Nadu - 625020. Ph: 0452-6890973"
18,"Schroeder, Carter and Villanueva Clinic","No.547, 18, Murugan 1st Street, Shevapet, Kondalampatti, Salem, Tamil Nadu - 636001. Ph: 0427-7527328"
19,"Smith-Duffy Clinic","No.740/B, 22, Mariamman Cross Street, Market Street, Madurantakam, Chengalpet, Tamil Nadu - 603074. Ph: 044-9115725"
20,"White LLC Clinic","No.899/2, 47, Anna Ambedkar Road, Old Mahabalipuram Road, Adyar, Chennai, Tamil Nadu - 600025. Ph: 044-5148003"
21,"Wade-King Clinic","No.163/1, 45, Murugan Tank Street, Bypass Road, Cheyyur, Chengalpet, Tamil Nadu - 603021. Ph: 044-9387166"
22,"Martin-Mason Clinic","No.491/2, 22, Nehru Hospital Road, Beach Road, Kayalpattinam, Thoothukudi, Tamil Nadu - 628816. Ph: 0461-3619469"
23,"Hartman-Tucker Clinic","No.81, 47, Bharathiar North Street, Nehru Street, Adyar, Chennai, Tamil Nadu - 600095. Ph: 044-9918619"
24,"Kaufman Group Clinic","No.426/1, 6, APJ Kalam Nehru Street, Mysore Road, Ooty, Nilgiris, Tamil Nadu - 643061. Ph: 0423-7998589"
25,"Matthews, Figueroa and Friedman Clinic","No.949, 35, Vinayagar Kovil Street, GST Road, Porur, Chennai, Tamil Nadu - 600056. Ph: 044-9665902"
26,"Castillo, Erickson and Chapman Clinic","No.354/A, 36, Mariamman Cross Street, Gandhi Nagar, Tambaram, Chennai, Tamil Nadu - 600017. Ph: 044-4222627"
27,"Gomez Ltd Clinic","No.250, 19, Vinayagar Ambedkar Road, Periyar Bus Stand Road, Paravai, Madurai, Tamil Nadu - 625001. Ph: 0452-3893523"
28,"Garcia-Miller Clinic","No.780/2, 34, Subash Bazaar Street, Raja Street, Pattukottai, Thanjavur, Tamil Nadu - 613008. Ph: 04362-6175725"
29,"Stephens Group Clinic","No.394/1, 18, Vinayagar Kamaraj Road, Salem Road, Kumarapalayam, Namakkal, Tamil Nadu - 637222. Ph: 04286-2358131"
30,"Brown LLC Clinic","No.994/B, 29, Bharathiar 1st Street, GST Road, Tambaram, Chennai, Tamil Nadu - 600056. Ph: 044-2111000"
31,"Brown, Long and Reynolds Clinic","No.467/2, 9, Subash Market Street, Nanjikottai Road, Pattukottai, Thanjavur, Tamil Nadu - 613005. Ph: 04362-3971077"
32,"Martinez PLC Clinic","No.377/2, 25, MGR West Street, Perundurai Road, Gobichettipalayam, Erode, Tamil Nadu - 638006. Ph: 0424-6111231"
33,"Ramos, Bell and Jones Clinic","No.658, 7, Ambedkar Periyar Street, Erode Road, Kulithalai, Karur, Tamil Nadu - 639107. Ph: 04324-5513095"
34,"Smith-Lloyd Clinic","No.520/B, 49, MGR Kamaraj Road, Trichy Road, Namakkal, Namakkal, Tamil Nadu - 637361. Ph: 04286-4350052"
35,"Riley-Kennedy Clinic","No.896/1, 49, Subash Anna Street, Williams Road, Srirangam, Tiruchirappalli, Tamil Nadu - 620008. Ph: 0431-2545594"
36,"Garcia Inc Clinic","No.716, 29, Bharathiar Big Street, Bypass Road, Arapalayam, Madurai, Tamil Nadu - 625018. Ph: 0452-9792039"
37,"Martin-Miller Clinic","No.964, 21, Nehru West Street, Chennai Road, Arni, Tiruvannamalai, Tamil Nadu - 606529. Ph: 04175-9963907"
38,"Taylor, Cummings and Scott Clinic","No.196/B, 5, Rajaji South Street, Rajiv Gandhi Salai, Velachery, Chennai, Tamil Nadu - 600115. Ph: 044-7037350"
39,"Grant and Sons Clinic","No.305, 7, Gandhi Kamaraj Road, Poonamallee High Road, Velachery, Chennai, Tamil Nadu - 600115. Ph: 044-3326370"
40,"Hammond, Higgins and Harris Clinic","No.187/B, 25, Periyar West Street, Bharathidasan Road, Perambalur, Tiruchirappalli, Tamil Nadu - 620006. Ph: 0431-4131084"
41,"Price Group Clinic","No.945/B, 3, Anna New Street, Omalur Road, Kondalampatti, Salem, Tamil Nadu - 636016. Ph: 0427-3713721"
42,"Lowe-Casey Clinic","No.21/1, 29, Perumal South Street, GST Road, Anna Nagar, Chennai, Tamil Nadu - 600045. Ph: 044-4050919"
43,"Avila-Rodriguez Clinic","No.676, 32, Gandhi Kovil Street, Anna Salai, Porur, Chennai, Tamil Nadu - 600074. Ph: 044-4152376"
44,"Diaz-Douglas Clinic","No.570/2, 28, Bharathiar Market Street, Market Street, Kollidam, Mayiladuthurai, Tamil Nadu - 609576. Ph: 04364-3978742"
45,"Weaver-Anderson Clinic","No.628/1, 25, Vivekananda Bazaar Street, 2nd Cross Street, Chennai, Chennai, Tamil Nadu - 600025. Ph: 044-9572681"
46,"Porter-Roberson Clinic","No.497/A, 31, Vinayagar Nehru Street, SIPCOT Road, Arakkonam, Ranipet, Tamil Nadu - 632478. Ph: 04172-3827341"
47,"Perry, Montgomery and Joyce Clinic","No.649/A, 31, MGR 3rd Street, Station Road, Ambur, Tirupathur, Tamil Nadu - 635660. Ph: 04179-6049911"
48,"Crawford, Beck and Fields Clinic","No.77/B, 24, Subash Gandhi Road, DB Road, Gandhipuram, Coimbatore, Tamil Nadu - 641113. Ph: 0422-4789387"
49,"Williamson PLC Clinic","No.226/B, 26, Vinayagar Periyar Street, Hospital Road, Kumbakonam, Thanjavur, Tamil Nadu - 613003. Ph: 04362-8796762"
50,"Lopez LLC Clinic","No.434, 23, Shiva Kamaraj Road, Maruthamalai Road, Tirupur, Coimbatore, Tamil Nadu - 641082. Ph: 0422-5295122"
51,"Wheeler-Garcia Clinic","No.2/1, 1, Subash Nehru Street, Gandhi Nagar, Vaniyambadi, Vellore, Tamil Nadu - 632004. Ph: 0416-5812032"
52,"Casey-Cunningham Clinic","No.381/B, 41, Shiva Main Road, Williams Road, Kulithalai, Tiruchirappalli, Tamil Nadu - 620015. Ph: 0431-2704095"
53,"Watson-Rasmussen Clinic","No.347, 24, Subash Main Road, Sainathapuram, Wallajah, Vellore, Tamil Nadu - 632006. Ph: 0416-9830183"
54,"Klein-Howard Clinic","No.226/B, 30, Murugan New Street, Bypass Road, Vedasandur, Dindigul, Tamil Nadu - 624329. Ph: 0451-3445829"
55,"Harris and Sons Clinic","No.334/1, 5, Periyar Anna Street, Kilnathur Road, Arni, Tiruvannamalai, Tamil Nadu - 606335. Ph: 04175-9766255"
56,"Jordan-Potter Clinic","No.590/B, 20, Kamaraj Bazaar Street, Market Street, Pappireddipatti, Dharmapuri, Tamil Nadu - 636748. Ph: 04342-9218901"
57,"Barnes LLC Clinic","No.529/B, 15, Rajaji East Street, North Veli Street, KK Nagar, Madurai, Tamil Nadu - 625002. Ph: 0452-8091968"
58,"Hall-Wood Clinic","No.323/B, 30, Kamaraj Tank Street, Palladam Road, Avinashi, Tiruppur, Tamil Nadu - 641642. Ph: 0421-4580526"
59,"Patel-Hatfield Clinic","No.670/B, 18, Vinayagar Cross Street, ECR Road, Madurantakam, Chengalpet, Tamil Nadu - 603115. Ph: 044-3105733"
60,"Johnson and Sons Clinic","No.710, 41, Rajiv South Street, Salem Road, Vikravandi, Villupuram, Tamil Nadu - 605044. Ph: 04146-6179419"
61,"Morgan-Brown Clinic","No.179/B, 36, Nehru Cross Street, Kalavasal, Paravai, Madurai, Tamil Nadu - 625007. Ph: 0452-8602236"
62,"Atkinson-Andrews Clinic","No.913, 7, Anna Gandhi Road, VOC Road, Kayalpattinam, Thoothukudi, Tamil Nadu - 628900. Ph: 0461-3682620"
63,"Mays, Munoz and Miller Clinic","No.37/2, 7, Murugan Kamaraj Road, 2nd Cross Street, Kodambakkam, Chennai, Tamil Nadu - 600114. Ph: 044-8047021"
64,"Harris, Gomez and Garcia Clinic","No.768/2, 47, APJ Kalam Kovil Street, Harbour Road, Tiruchendur, Thoothukudi, Tamil Nadu - 628796. Ph: 0461-6825404"
65,"Prince Group Clinic","No.46, 3, APJ Kalam North Street, Salem Road, Perambalur, Perambalur, Tamil Nadu - 621135. Ph: 04328-8923142"
66,"Gomez and Sons Clinic","No.261/B, 27, Subash North Street, Market Street, Devakottai, Sivaganga, Tamil Nadu - 630561. Ph: 04575-6503212"
67,"Martinez Group Clinic","No.167, 11, Perumal South Street, Old Trunk Road, Tiruppur, Tiruppur, Tamil Nadu - 641683. Ph: 0421-2945852"
68,"Terry-Hardin Clinic","No.705/2, 3, Vivekananda West Street, Sathyamangalam Road, Peelamedu, Coimbatore, Tamil Nadu - 641043. Ph: 0422-9018105"
69,"Drake Ltd Clinic","No.89, 43, Mariamman West Street, Muniaandi Street, Kamuthi, Ramanathapuram, Tamil Nadu - 623749. Ph: 04567-7287512"
70,"Bennett, Garcia and Medina Clinic","No.469, 48, Patel North Street, Oppanakara Street, Peelamedu, Coimbatore, Tamil Nadu - 641027. Ph: 0422-6531808"
71,"Sherman LLC Clinic","No.69, 47, MGR East Street, Gandhi Nagar, Tambaram, Chennai, Tamil Nadu - 600094. Ph: 044-6614297"
72,"Lee-Miller Clinic","No.418, 34, Indira Cross Street, Old Mahabalipuram Road, Chromepet, Chennai, Tamil Nadu - 600005. Ph: 044-6329668"
73,"Lynch Inc Clinic","No.901/1, 42, Rajiv Periyar Street, Hospital Road, Sivaganga, Sivaganga, Tamil Nadu - 630174. Ph: 04575-5686318"
74,"Porter, Shields and James Clinic","No.745/2, 15, Rajiv New Street, Anna Salai, Nungambakkam, Chennai, Tamil Nadu - 600113. Ph: 044-5992438"
75,"Martinez-Henson Clinic","No.748/1, 37, Anna North Street, Subash Road, Cuddalore, Cuddalore, Tamil Nadu - 607378. Ph: 04142-9579723"
76,"Morse-Carpenter Clinic","No.498/2, 40, APJ Kalam School Road, Omalur Road, Kondalampatti, Salem, Tamil Nadu - 636002. Ph: 0427-3442850"
77,"Freeman Inc Clinic","No.325, 31, Rajiv North Street, Poonamallee High Road, Tambaram, Chennai, Tamil Nadu - 600051. Ph: 044-5636700"
78,"Carter, Howell and Martinez Clinic","No.26/2, 29, MGR South Street, Harbour Road, Thoothukudi, Thoothukudi, Tamil Nadu - 628291. Ph: 0461-6405544"
79,"Stephens, Gonzalez and Hernandez Clinic","No.488, 30, Nehru Periyar Street, Trichy Road, Oddanchatram, Dindigul, Tamil Nadu - 624045. Ph: 0451-8690810"
80,"Huff, James and Reilly Clinic","No.712/1, 41, Kamaraj 1st Street, Market Street, Tiruppattur, Sivaganga, Tamil Nadu - 630076. Ph: 04575-4032578"
81,"Dennis-Howard Clinic","No.618/A, 45, Shiva Anna Street, Kamaraj Road, Tiruppur, Tiruppur, Tamil Nadu - 641629. Ph: 0421-8844045"
82,"Harper-Romero Clinic","No.976/A, 17, Murugan Kamaraj Road, Poonamallee High Road, Royapettah, Chennai, Tamil Nadu - 600014. Ph: 044-9019818"
83,"Robinson PLC Clinic","No.893, 35, Periyar Hospital Road, Cherry Road, Salem, Salem, Tamil Nadu - 636013. Ph: 0427-9184932"
84,"Franklin LLC Clinic","No.74/2, 47, MGR School Road, Mount Road, Velachery, Chennai, Tamil Nadu - 600070. Ph: 044-2879454"
85,"Harrington-Lewis Clinic","No.380/A, 28, Gandhi East Street, Hospital Road, Udayarpalayam, Ariyalur, Tamil Nadu - 621710. Ph: 04329-9584935"
86,"Rivera LLC Clinic","No.638/B, 4, Rajaji Tank Street, Kamaraj Salai, Anna Nagar, Madurai, Tamil Nadu - 625004. Ph: 0452-3989766"
87,"Lyons PLC Clinic","No.923/A, 30, Murugan 1st Street, GST Road, Chennai, Chennai, Tamil Nadu - 600119. Ph: 044-8354096"
88,"Smith-Fletcher Clinic","No.168/1, 5, Nehru Ambedkar Road, Madurai Road, Andipatti, Theni, Tamil Nadu - 625543. Ph: 04546-9646952"
89,"Colon-Sullivan Clinic","No.504/B, 42, Patel Ambedkar Road, Kumaran Road, Kangeyam, Tiruppur, Tamil Nadu - 641617. Ph: 0421-6718166"
90,"Smith and Sons Clinic","No.629/1, 46, Ambedkar School Road, South Veli Street, Arapalayam, Madurai, Tamil Nadu - 625013. Ph: 0452-2718251"
91,"Clarke-Riley Clinic","No.652, 1, Ambedkar Cross Street, Oppanakara Street, Gandhipuram, Coimbatore, Tamil Nadu - 641089. Ph: 0422-8778611"
92,"Kline Group Clinic","No.862/A, 3, Ambedkar North Street, Trichy Road, Mettupalayam, Coimbatore, Tamil Nadu - 641025. Ph: 0422-9826774"
93,"Perez PLC Clinic","No.25/2, 39, Vinayagar Tank Street, SIPCOT Road, Arcot, Ranipet, Tamil Nadu - 632466. Ph: 04172-3050212"
94,"Holt-Robinson Clinic","No.893, 8, Vinayagar South Street, Station Road, Sankarapuram, Kallakurichi, Tamil Nadu - 606204. Ph: 04151-5725481"
95,"Prince and Sons Clinic","No.68, 7, Bharathiar Kovil Street, Gandhiji Road, Gobichettipalayam, Erode, Tamil Nadu - 638011. Ph: 0424-9216584"
96,"Young-Fleming Clinic","No.711, 16, Subash Raja Street, Medical College Road, Pattukottai, Thanjavur, Tamil Nadu - 613002. Ph: 04362-9499289"
97,"Henderson Group Clinic","No.72, 8, Vinayagar Kamaraj Road, Melapalayam, Nanguneri, Tirunelveli, Tamil Nadu - 627006. Ph: 0462-3415481"
98,"Hayes Ltd Clinic","No.588/2, 47, APJ Kalam Hospital Road, Big Bazaar Street, Tirupur, Coimbatore, Tamil Nadu - 641010. Ph: 0422-7474966"
99,"Baxter-Hensley Clinic","No.580/B, 10, APJ Kalam 1st Street, Madurai Road, Uthamapalayam, Theni, Tamil Nadu - 625577. Ph: 04546-6578401"
100,"Clark-Olson Clinic","No.91, 3, Mariamman New Street, Harbour Road, Tiruchendur, Thoothukudi, Tamil Nadu - 628544. Ph: 0461-3768960"
101,"Schroeder-Kennedy Clinic","No.438/1, 4, Shiva 2nd Street, Vellore Road, Arakkonam, Ranipet, Tamil Nadu - 632457. Ph: 04172-6177826"
102,"Moore-Jones Clinic","No.907/1, 44, Subash Nehru Street, Gandhi Nagar, Royapettah, Chennai, Tamil Nadu - 600077. Ph: 044-7077802"
103,"White, Moore and Shelton Clinic","No.451, 28, Bharathiar Gandhi Road, Mettu Street, Manachanallur, Tiruchirappalli, Tamil Nadu - 620018. Ph: 0431-8086423"
104,"Brown-Bryant Clinic","No.834/2, 12, Mariamman Gandhi Road, Mettu Street, Thillai Nagar, Tiruchirappalli, Tamil Nadu - 620006. Ph: 0431-5832698"
105,"Bryant, Contreras and Ramirez Clinic","No.696/A, 40, Mariamman School Road, Bypass Road, Anna Nagar, Madurai, Tamil Nadu - 625006. Ph: 0452-6697416"
106,"Mcneil, Banks and Robles Clinic","No.302, 50, Indira 2nd Street, Nehru Street, Pollachi, Coimbatore, Tamil Nadu - 641045. Ph: 0422-6781514"
107,"Nguyen-Robles Clinic","No.963/A, 3, Vinayagar Periyar Street, Williams Road, Srirangam, Tiruchirappalli, Tamil Nadu - 620001. Ph: 0431-5381840"
108,"Wade-Nguyen Clinic","No.806, 4, Bharathiar West Street, Salem Road, Alathur, Perambalur, Tamil Nadu - 621144. Ph: 04328-8379716"
109,"Wolf, Richmond and Obrien Clinic","No.395/2, 47, Rajaji Cross Street, Hospital Road, Pennagaram, Dharmapuri, Tamil Nadu - 636807. Ph: 04342-7971381"
110,"Estrada Inc Clinic","No.740/B, 48, APJ Kalam Big Street, Salem Road, Alathur, Perambalur, Tamil Nadu - 621135. Ph: 04328-6524488"
111,"Harris-Singh Clinic","No.395, 29, Mariamman Nehru Street, Salem Road, Kurumbalur, Perambalur, Tamil Nadu - 621126. Ph: 04328-6791202"
112,"Morgan Group Clinic","No.86, 34, Murugan 3rd Street, Sainathapuram, Ambur, Vellore, Tamil Nadu - 632005. Ph: 0416-6119163"
113,"Shelton-Lewis Clinic","No.561/A, 36, Mariamman Periyar Street, Kumbakonam Road, Sirkazhi, Mayiladuthurai, Tamil Nadu - 609352. Ph: 04364-3374888"
114,"Mccullough-Escobar Clinic","No.458/B, 9, Subash Periyar Street, GST Road, Chromepet, Chennai, Tamil Nadu - 600049. Ph: 044-7022462"
115,"Swanson, Bowman and Robinson Clinic","No.10, 20, Indira 1st Street, Station Road, Tirupathur, Tirupathur, Tamil Nadu - 635845. Ph: 04179-5723552"
116,"Johnson, Smith and Thompson Clinic","No.540/2, 40, APJ Kalam Kamaraj Road, Oppanakara Street, Tirupur, Coimbatore, Tamil Nadu - 641048. Ph: 0422-5681428"
117,"Mcdaniel LLC Clinic","No.919/B, 36, Bharathiar Raja Street, Gandhi Nagar, Ambur, Vellore, Tamil Nadu - 632002. Ph: 0416-9580303"
118,"Rodriguez LLC Clinic","No.694, 50, Gandhi School Road, Officers Line, Gudiyatham, Vellore, Tamil Nadu - 632012. Ph: 0416-7841492"
119,"Rodriguez, Woods and Estrada Clinic","No.736/B, 6, Murugan Kovil Street, Kamaraj Road, Kangeyam, Tiruppur, Tamil Nadu - 641605. Ph: 0421-2310495"
120,"Jarvis, Young and Vargas Clinic","No.466, 13, Perumal Market Street, Trichy Road, Peelamedu, Coimbatore, Tamil Nadu - 641060. Ph: 0422-2512768"
121,"Carey-Sandoval Clinic","No.886/B, 8, Gandhi 2nd Street, North Veli Street, KK Nagar, Madurai, Tamil Nadu - 625017. Ph: 0452-8048903"
122,"Flores, Massey and Price Clinic","No.595, 10, Rajiv Main Road, Railway Station Road, Kodaikanal, Dindigul, Tamil Nadu - 624161. Ph: 0451-5385072"
123,"Hale, Harper and Cox Clinic","No.425/B, 2, Rajiv West Street, 2nd Cross Street, Tambaram, Chennai, Tamil Nadu - 600043. Ph: 044-4782837"
124,"Mullins PLC Clinic","No.568, 38, Nehru Kamaraj Road, Salem Road, Ulundurpet, Kallakurichi, Tamil Nadu - 606205. Ph: 04151-6894887"
125,"Freeman-Jackson Clinic","No.666/2, 40, Bharathiar Tank Street, Kilnathur Road, Cheyyar, Tiruvannamalai, Tamil Nadu - 606697. Ph: 04175-4626593"
126,"Hayes, Mccullough and Kim Clinic","No.187/A, 2, APJ Kalam Ambedkar Road, ECR Road, Madurantakam, Chengalpet, Tamil Nadu - 603077. Ph: 044-3058646"
127,"David-Phillips Clinic","No.827, 5, Rajiv Tank Street, Kagithapuram, Gudiyatham, Vellore, Tamil Nadu - 632010. Ph: 0416-6267823"
128,"Richards, Ferguson and Burke Clinic","No.924/A, 33, Rajiv 2nd Street, Krishnagiri Road, Dharmapuri, Dharmapuri, Tamil Nadu - 636706. Ph: 04342-2117209"
129,"Reed-Nicholson Clinic","No.967, 47, Perumal 2nd Street, Mattuthavani Road, Vadipatti, Madurai, Tamil Nadu - 625011. Ph: 0452-6314809"
130,"Jenkins LLC Clinic","No.324/2, 8, Perumal Big Street, Poonamallee High Road, Perambur, Chennai, Tamil Nadu - 600029. Ph: 044-5634682"
131,"Davila, Johnson and Perkins Clinic","No.104/1, 21, Perumal School Road, Hospital Street, Vedaranyam, Nagapattinam, Tamil Nadu - 611081. Ph: 04365-3508495"
132,"Morton Ltd Clinic","No.265, 28, Perumal Gandhi Road, Gandhi Nagar, Chennai, Chennai, Tamil Nadu - 600103. Ph: 044-7329244"
133,"Wilson, Gilbert and Lutz Clinic","No.58, 34, Patel Kovil Street, Trichy Road, Thirumayam, Pudukottai, Tamil Nadu - 622363. Ph: 04322-6963978"
134,"Powell Ltd Clinic","No.627, 13, Gandhi East Street, Salem Road, Kallakurichi, Kallakurichi, Tamil Nadu - 606205. Ph: 04151-3465225"
135,"Thompson, Carrillo and Burns Clinic","No.505/B, 42, Murugan 3rd Street, High Ground Road, Tirunelveli, Tirunelveli, Tamil Nadu - 627008. Ph: 0462-2804364"
136,"Pugh, Smith and Evans Clinic","No.880/A, 6, Vinayagar Kovil Street, Nehru Street, Kinathukadavu, Coimbatore, Tamil Nadu - 641046. Ph: 0422-7764510"
137,"Bailey and Sons Clinic","No.283/1, 15, Indira Bazaar Street, DB Road, Coimbatore, Coimbatore, Tamil Nadu - 641098. Ph: 0422-4137021"
138,"Coffey, Mcfarland and Edwards Clinic","No.532/2, 30, Mariamman Kovil Street, Charing Cross Road, Udhagamandalam, Nilgiris, Tamil Nadu - 643071. Ph: 0423-3812721"
139,"Rodgers Group Clinic","No.413/B, 44, Subash 3rd Street, Avinashi Road, Kinathukadavu, Coimbatore, Tamil Nadu - 641114. Ph: 0422-3950409"
140,"Dominguez Inc Clinic","No.968, 26, Periyar Kamaraj Road, Market Street, Tiruchengode, Namakkal, Tamil Nadu - 637385. Ph: 04286-5549404"
141,"Thomas-Hunter Clinic","No.539/1, 7, Ambedkar Market Street, Brough Road, Perundurai, Erode, Tamil Nadu - 638001. Ph: 0424-3010793"
142,"Stewart Group Clinic","No.613, 7, Mariamman New Street, Melapalayam, Ambasamudram, Tirunelveli, Tamil Nadu - 627009. Ph: 0462-7442072"
143,"Wilkinson and Sons Clinic","No.685/2, 16, Murugan New Street, NGO Colony, Cheranmahadevi, Tirunelveli, Tamil Nadu - 627012. Ph: 0462-5377040"
144,"Mendoza LLC Clinic","No.740, 40, Ambedkar Anna Street, Perumal Koil Street, Suramangalam, Salem, Tamil Nadu - 636015. Ph: 0427-9049091"
145,"Becker, Duncan and Moore Clinic","No.552, 20, Subash Big Street, Promenade Road, KK Nagar, Tiruchirappalli, Tamil Nadu - 620011. Ph: 0431-9634636"
146,"Skinner Inc Clinic","No.955/A, 19, Indira Bazaar Street, Old Trunk Road, Tiruppur, Tiruppur, Tamil Nadu - 641630. Ph: 0421-6003144"
147,"Mathews-Harris Clinic","No.165/2, 6, Mariamman Big Street, Hospital Road, Udhagamandalam, Nilgiris, Tamil Nadu - 643228. Ph: 0423-9717895"
148,"Cantrell Group Clinic","No.778/1, 31, Vinayagar Tank Street, Trichy Road, Karaikudi, Sivaganga, Tamil Nadu - 630531. Ph: 04575-3037940"
149,"Spencer-Duncan Clinic","No.538/2, 39, Indira Market Street, Beach Road, Chidambaram, Cuddalore, Tamil Nadu - 607618. Ph: 04142-4285128"
150,"Murphy Ltd Clinic","No.716, 36, Shiva Anna Street, VIT Road, Vaniyambadi, Vellore, Tamil Nadu - 632007. Ph: 0416-5525569"
151,"Peterson, Wilson and Phillips Clinic","No.733, 13, MGR Kamaraj Road, VOC Road, Gobichettipalayam, Erode, Tamil Nadu - 638005. Ph: 0424-9106610"
152,"Wright Group Clinic","No.124, 39, Nehru New Street, Sainathapuram, Katpadi, Vellore, Tamil Nadu - 632006. Ph: 0416-8467086"
153,"Hart-Curtis Clinic","No.816/1, 13, Perumal Old Street, Salem Road, Vikravandi, Villupuram, Tamil Nadu - 605392. Ph: 04146-8322398"
154,"Mckee, Johnson and Roberts Clinic","No.666/A, 50, APJ Kalam 3rd Street, Trichy Road, Kodaikanal, Dindigul, Tamil Nadu - 624504. Ph: 0451-9669730"
155,"Lopez-Reynolds Clinic","No.354, 47, Ambedkar North Street, Trichy Road, Veppanthattai, Perambalur, Tamil Nadu - 621215. Ph: 04328-5720149"
156,"Morris PLC Clinic","No.871/1, 5, Mariamman Tank Street, Old Bus Stand Road, Kodaikanal, Dindigul, Tamil Nadu - 624356. Ph: 0451-5403992"
157,"Martin PLC Clinic","No.174, 33, Kamaraj Ambedkar Road, VOC Road, Perundurai, Erode, Tamil Nadu - 638007. Ph: 0424-8686298"
158,"Howe, Jones and Mckee Clinic","No.402/B, 8, Subash Kamaraj Road, Palladam Road, Avinashi, Tiruppur, Tamil Nadu - 641660. Ph: 0421-8844430"
159,"Rivera, Fowler and Price Clinic","No.774, 34, Periyar Big Street, Mannargudi Road, Nannilam, Tiruvarur, Tamil Nadu - 611929. Ph: 04366-6724482"
160,"Smith Group Clinic","No.833/1, 43, Ambedkar Cross Street, Vannarpettai, Tirunelveli, Tirunelveli, Tamil Nadu - 627011. Ph: 0462-7119003"
161,"Roach Group Clinic","No.231/A, 49, Shiva Old Street, Promenade Road, Woraiyur, Tiruchirappalli, Tamil Nadu - 620018. Ph: 0431-3065117"
162,"Hernandez, Stewart and Peck Clinic","No.597/1, 13, Nehru Kamaraj Road, Poonamallee High Road, Mylapore, Chennai, Tamil Nadu - 600096. Ph: 044-6094115"
163,"Osborn Group Clinic","No.634/1, 34, Periyar Nehru Street, Trichy Road, Singanallur, Coimbatore, Tamil Nadu - 641083. Ph: 0422-5939299"
164,"Medina-Olson Clinic","No.390, 47, Perumal 2nd Street, Cauvery Road, Sathyamangalam, Erode, Tamil Nadu - 638006. Ph: 0424-2591528"
165,"Richards PLC Clinic","No.268, 11, Rajaji Tank Street, Mattuthavani Road, Anna Nagar, Madurai, Tamil Nadu - 625020. Ph: 0452-8811664"
166,"Rodriguez-Cobb Clinic","No.23/B, 10, Periyar 3rd Street, Nethaji Road, Perundurai, Erode, Tamil Nadu - 638004. Ph: 0424-4000289"
167,"Martin, Hensley and Jones Clinic","No.57, 17, Rajaji Periyar Street, Harbour Road, Kayalpattinam, Thoothukudi, Tamil Nadu - 628655. Ph: 0461-5003424"
168,"Walton, Rodriguez and Valencia Clinic","No.667/A, 42, Kamaraj Bazaar Street, Kalam Road, Paramakudi, Ramanathapuram, Tamil Nadu - 623533. Ph: 04567-9840500"
